











1. python create_dataset_files.py

2. python main.py --data ./data/ISKG/ --epochs_gat 100 --epochs_conv 100 --weight_decay_gat 0.00001 --get_2hop True --partial_2hop True --batch_size_gat 1024 --margin 1 --out_channels 50 --drop_conv 0.3 --output_folder ./checkpoints/fb/out/







运行日志:

===============================================================================================

number of unique_entities -> 44039
number of unique_entities -> 4403
number of unique_entities -> 4439
Initialised relations and entities from TransE
Graph created
length of graph keys is  25837
time taken  2.133985757827759
length of neighbors dict is  14607
Total triples count 109992, training triples 101862, validation_triples 4065, test_triples 4065
Opening node_neighbors pickle object
Initial entity dimensions torch.Size([44039, 100]) , relation dimensions torch.Size([20, 100])
Defining model

Model type -> GAT layer with 2 heads used , Initital Embeddings training
length of unique_entities  44039
Number of epochs 100

epoch->  0
Iteration-> 4  , Iteration_time-> 0.2277 , Iteration_loss 0.1144
Iteration-> 5  , Iteration_time-> 0.2252 , Iteration_loss 0.1239
Iteration-> 6  , Iteration_time-> 0.2256 , Iteration_loss 0.1247
Iteration-> 7  , Iteration_time-> 0.2255 , Iteration_loss 0.1363
Iteration-> 8  , Iteration_time-> 0.2253 , Iteration_loss 0.1282
Iteration-> 9  , Iteration_time-> 0.2246 , Iteration_loss 0.1325
Iteration-> 10  , Iteration_time-> 0.2261 , Iteration_loss 0.1322
Iteration-> 11  , Iteration_time-> 0.2290 , Iteration_loss 0.1270
Iteration-> 12  , Iteration_time-> 0.2249 , Iteration_loss 0.1359
Iteration-> 13  , Iteration_time-> 0.2248 , Iteration_loss 0.1213
Iteration-> 14  , Iteration_time-> 0.2264 , Iteration_loss 0.1236
Iteration-> 15  , Iteration_time-> 0.2275 , Iteration_loss 0.1250
Iteration-> 16  , Iteration_time-> 0.2273 , Iteration_loss 0.1472
Iteration-> 17  , Iteration_time-> 0.2279 , Iteration_loss 0.1192
Iteration-> 18  , Iteration_time-> 0.2275 , Iteration_loss 0.1169
Iteration-> 19  , Iteration_time-> 0.2262 , Iteration_loss 0.1292
Iteration-> 20  , Iteration_time-> 0.2254 , Iteration_loss 0.1326
Iteration-> 21  , Iteration_time-> 0.2267 , Iteration_loss 0.1310
Iteration-> 22  , Iteration_time-> 0.2282 , Iteration_loss 0.1314
